"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","threshold"
"203213_at",414.263290697674,581.59963372093,4.7752572187986,7.39452321594917e-06,0.000401883319075599,-4.443940486815,"CDK1","Up"
"208029_s_at",1090.65411627907,1180.7553372093,4.76866358468457,7.58790359813375e-06,0.000411389916976191,-4.44428968488575,"LAPTM4B","Up"
"210046_s_at",402.869779069767,391.181359302326,4.76711392802086,7.63406157120961e-06,0.000412887849493358,-4.44437174315301,"IDH2","Up"
"218656_s_at",-806.496674418604,1649.83398837209,-4.76368207242881,7.73725699991293e-06,0.000417455926704745,-4.44455345314068,"LHFPL6","Down"
"209529_at",212.727181395349,285.462437209302,4.76083016408127,7.82404478825e-06,0.000420540990935939,-4.44470443973053,"PLPP2","Up"
"200670_at",918.203023255813,3075.04895348837,4.76056434974505,7.8321819879915e-06,0.000420540990935939,-4.44471851179463,"XBP1","Up"
"209184_s_at",-741.141372093023,1571.03124418605,-4.75497466959782,8.00521435858992e-06,0.000428798537385719,-4.44501439625634,"IRS2","Down"
"210381_s_at",-450.970093023257,1247.83781395349,-4.75127528573917,8.12177003957812e-06,0.000433998565448247,-4.44521018785492,"CCKBR","Down"
"45288_at",-133.88933255814,239.142945348837,-4.75000314196249,8.16223129851181e-06,0.000435117224939566,-4.44527751075969,"ABHD6","Down"
"203799_at",-479.695786046512,691.126897674419,-4.74876054031945,8.20194218995893e-06,0.000435613035819064,-4.44534326734806,"CD302","Down"
"218547_at",-492.351474418604,880.016169767442,-4.74848945901389,8.21063030310132e-06,0.000435613035819064,-4.44535761217394,"DHDDS","Down"
"203432_at",214.328244186047,341.109963953488,4.74458747354452,8.33668438673655e-06,0.000441250209476605,-4.44556407847229,"TMPO","Up"
"219576_at",-351.954937209303,626.583836046512,-4.74214789038036,8.41644946414531e-06,0.000444416453577133,-4.44569314987654,"MAP7D3","Down"
"210831_s_at",-366.17673255814,460.430991860465,-4.74068408919974,8.46466593122355e-06,0.000445905794197292,-4.44577059001536,"PTGER3","Down"
"205619_s_at",-430.159220930233,750.805691860465,-4.73880743601173,8.52687449624102e-06,0.000448123453772968,-4.4458698654876,"MEOX1","Down"
"205559_s_at",-284.03424744186,406.162687906977,-4.73733614783253,8.57595643295295e-06,0.000449642440459978,-4.44594769233918,"PCSK5","Down"
"202187_s_at",-889.608186046512,1434.73404651163,-4.73527521116728,8.64517114919299e-06,0.000452207391355557,-4.44605670290707,"PPP2R5A","Down"
"208650_s_at",781.052037209302,558.60088372093,4.73054049167413,8.80624613655884e-06,0.00045955405775396,-4.44630710879429,"CD24","Up"
"209894_at",-402.134644186046,570.963631395349,-4.71644611799146,9.30319913052059e-06,0.00048435323884437,-4.44705226179328,"LEPR","Down"
"213765_at",-631.651044186047,837.831477906977,-4.71325888476415,9.41930079958526e-06,0.000488617005633091,-4.44722071273547,"MFAP5","Down"
"216321_s_at",-821.536339534883,1659.72185348837,-4.71299569138891,9.42895087834804e-06,0.000488617005633091,-4.44723462206819,"NR3C1","Down"
"219028_at",-217.433109302326,296.059470930233,-4.70875792899314,9.58565942136235e-06,0.000495585264237163,-4.44745856167776,"HIPK2","Down"
"212667_at",-1450.90741860465,2731.01724418605,-4.70608351020446,9.68585678348623e-06,0.000499606358116722,-4.44759986963644,"SPARC","Down"
"206637_at",-459.870046511628,699.44411627907,-4.70252901519216,9.82060304959144e-06,0.000505386830840753,-4.44778765569241,"P2RY14","Down"
"206363_at",-88.4977511627907,164.684301162791,-4.70152814789076,9.85887218690005e-06,0.000506187209540769,-4.44784052746937,"MAF","Down"
"222116_s_at",-516.582279069767,810.964279069767,-4.69973441003788,9.9278204400302e-06,0.000507165198666353,-4.44793527828674,"TBC1D16","Down"
"216336_x_at",-610.611813953488,1889.5896744186,-4.69938235365177,9.94140779821706e-06,0.000507165198666353,-4.44795387422979,"MT1E","Down"
"209209_s_at",-154.428176744186,188.042079069767,-4.69925827644548,9.94620077266059e-06,0.000507165198666353,-4.4479604280419,"FERMT2","Down"
"203282_at",-1318.36737209302,2673.18796511628,-4.69617052739867,1.00662032578737e-05,0.000512112345194519,-4.4481235141341,"GBE1","Down"
"209122_at",-769.128441860465,1645.58712790698,-4.69472246723313,1.0122964271252e-05,0.000513313094822524,-4.44819998979413,"PLIN2","Down"
"201561_s_at",345.426795348837,628.190346511628,4.69439412901862,1.01358776521075e-05,0.000513313094822524,-4.4482173295515,"CLSTN1","Up"
"217200_x_at",585.875418604651,1303.36780232558,4.6865084116564,1.04508723497042e-05,0.000528065280200589,-4.44863371241506,"CYB561","Up"
"41644_at",-631.786069767442,1085.87322093023,-4.68290196718693,1.05980820257289e-05,0.000534291994975829,-4.44882409725623,"SASH1","Down"
"204421_s_at",-99.171111627907,219.888269767442,-4.68164198390892,1.0649985996769e-05,0.000535696699697526,-4.4488906055604,"FGF2","Down"
"219209_at",270.839046511628,309.669781395349,4.67852689558725,1.07793718110718e-05,0.000540983653302056,-4.44905502134404,"IFIH1","Up"
"201150_s_at",-1300.03706976744,2194.08558139535,-4.67042277805788,1.11231733713648e-05,0.000556983533110388,-4.44948266385229,"TIMP3","Down"
"213227_at",-517.241697674419,1118.5881744186,-4.66827219299983,1.12161815995763e-05,0.000560381557361793,-4.4495961235196,"PGRMC2","Down"
"208794_s_at",265.103202325581,311.047929069767,4.6652850608442,1.13466230278838e-05,0.000565630427137213,-4.44975370085999,"SMARCA4","Up"
"212554_at",-608.197604651163,1203.16703488372,-4.65615566428395,1.17544820755995e-05,0.000584654294845051,-4.45023517517358,"CAP2","Down"
"205883_at",-683.67946511628,1432.61105813953,-4.6515663745603,1.19648526708785e-05,0.000593792454488165,-4.45047714030927,"ZBTB16","Down"
"202546_at",556.359534883721,1112.18639534884,4.65068436983029,1.20057000613621e-05,0.00059449558770518,-4.45052363769013,"VAMP8","Up"
"211675_s_at",-964.615093023255,2035.06484883721,-4.64889533171765,1.20889702972334e-05,0.000597291630007211,-4.45061794661402,"MDFIC","Down"
"219778_at",-345.587541860465,688.770368604651,-4.63360754804701,1.2823781323196e-05,0.000632195396514991,-4.45142354826058,"ZFPM2","Down"
"200973_s_at",-344.443860465116,261.033793023256,-4.63013181297438,1.29967962349617e-05,0.000639310398462806,-4.45160663109349,"TSPAN3","Down"
"221651_x_at",1544.70548837209,2266.68225581395,4.62879725548876,1.30638280245819e-05,0.000641192246413567,-4.45167692099504,"IGKC","Up"
"211719_x_at",2377.97768372093,2392.80800232558,4.62661495095406,1.31741639376139e-05,0.000645186582465604,-4.45179185214623,"FN1","Up"
"201010_s_at",-1983.73953488372,4450.39465116279,-4.62592376330023,1.32092981768464e-05,0.000645488577356729,-4.45182825128829,"TXNIP","Down"
"200770_s_at",-416.079720930233,615.494,-4.62221273248119,1.33994968140072e-05,0.000653350082071167,-4.45202366178169,"LAMC1","Down"
