"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"215091_s_at",-147.208581395349,2001.59624418605,-0.692450925849002,0.490538547548882,0.741062403730966,-4.59974119120801
"206593_s_at",-81.1740000000009,1330.62546511628,-0.692283089013033,0.490643388406337,0.741141423591544,-4.59974323246298
"217481_x_at",-44.6386325581392,572.715218604651,-0.692260700197241,0.490657374717159,0.741141423591544,-4.5997435047223
"207684_at",73.0636534883722,844.163431395349,0.691861853482289,0.490906571119458,0.741467574341142,-4.59974835345712
"215985_at",-75.0044186046507,1268.34786046512,-0.691790884433033,0.490950919295064,0.74148429813284,-4.59974921593352
"207445_s_at",-62.5069302325583,908.862720930233,-0.691707869372682,0.491002797737858,0.741512391866668,-4.59975022469356
"204178_s_at",-26.1664302325583,281.383210465116,-0.691598026136822,0.491071446467642,0.74153398596539,-4.59975155927506
"206453_s_at",-79.0381860465118,758.899651162791,-0.691489297394097,0.49113940384008,0.74153398596539,-4.59975288011148
"203512_at",38.2217209302326,442.45323255814,0.69143839768626,0.491171218817374,0.74153398596539,-4.59975349837119
"217031_at",7.87913953488372,107.93931627907,0.69140332282851,0.49119314309202,0.74153398596539,-4.59975392438646
"206829_x_at",-23.4548604651163,326.011872093023,-0.691399566336842,0.491195491197548,0.74153398596539,-4.59975397001113
"218332_at",-133.935325581396,2106.19256976744,-0.691365533573375,0.491216764656245,0.74153398596539,-4.59975438334685
"201870_at",-72.1683953488375,1389.88205813953,-0.691309159882145,0.491252004260024,0.741536946953402,-4.59975506797448
"208860_s_at",-64.3366604651161,864.500934883721,-0.691149179290097,0.491352016814229,0.741608209604679,-4.59975701055396
"211938_at",-109.645558139536,1855.53143023256,-0.691127169983693,0.491365776897342,0.741608209604679,-4.59975727776964
"205615_at",-4.55646046511632,53.2050139534884,-0.691047799082336,0.491415400846148,0.741632873488297,-4.59975824134513
"202529_at",-155.818139534883,2676.05627906977,-0.690978706117608,0.4914586010952,0.74164784018721,-4.59975908005672
"211067_s_at",-46.7167790697674,450.851256976744,-0.690662944680608,0.491656056762684,0.741839513932286,-4.59976291200489
"217382_at",-5.47448372093019,73.3643697674419,-0.690651854057031,0.491662992870011,0.741839513932286,-4.5997630465649
"214119_s_at",-80.3568139534882,1135.7618255814,-0.690615881877049,0.491685490340885,0.741839513932286,-4.59976348299263
"207726_at",-5.17790000000002,58.8060011627907,-0.690238106029305,0.491921790246053,0.741971660877133,-4.59976806496573
"209500_x_at",-68.7611395348843,1198.0725,-0.690187423526551,0.491953497018187,0.741971660877133,-4.59976867949788
"200776_s_at",91.1125348837204,1591.25189534884,0.690182347488412,0.491956672628937,0.741971660877133,-4.59976874104309
"202512_s_at",-58.0894418604652,757.771604651163,-0.690107583295249,0.492003447012885,0.741971660877133,-4.59976964748187
"215217_at",17.8072511627907,119.659565116279,0.69007645709347,0.492022921073588,0.741971660877133,-4.59977002482666
"213322_at",-27.1509209302325,212.141251162791,-0.690071273397631,0.49202616428587,0.741971660877133,-4.59977008766731
"209141_at",-82.5415348837209,2025.7421627907,-0.690053339708434,0.49203738470266,0.741971660877133,-4.59977030506933
"207360_s_at",-9.5285604651163,128.329645348837,-0.690050026669069,0.49203945755874,0.741971660877133,-4.59977034523121
"201709_s_at",17.4486279069767,392.44261627907,0.689957961773966,0.492097061340313,0.742008310857098,-4.59977146120019
